rank,hand,label,notation,combos,equity_pct,hi_equity_pct,lo_equity_pct,hi_win_pct,hi_tie_pct,lo_win_pct,lo_tie_pct,hi_numerator,lo_numerator,denominator,hi_win_count,hi_tie_count,lo_win_count,lo_tie_count,deals,rank_low,rank_high
46,AdAc6c3h,AA63 (ss),(A6)A3,24,69.204557,48.36278,20.841777,64.730686,0.686713,40.761116,1.844875,9811009876896,4228021574400,20286281917440,3282862383888,34827117288,2067228707712,93564158976,5071570479360,46,46
47,AdAc6h2c,AA62 (ss),(A2)A6,24,69.175537,47.958514,21.217023,63.995978,0.543698,41.473552,1.92099,9728999314248,4304145200640,20286281917440,3245601149424,27574045152,2103360420864,97424358912,5071570479360,47,47
48,AdAc6c2h,AA62 (ss),(A6)A2,24,69.142699,47.925676,21.217023,63.936311,0.543991,41.473552,1.92099,9722337679584,4304145200640,20286281917440,3242575070880,27588881904,2103360420864,97424358912,5071570479360,48,48
49,AdAc6h4c,AA64 (ss),(A4)A6,24,69.134676,48.802883,20.331793,65.523195,0.83205,39.777765,1.771642,9900290344920,4124564839680,20286281917440,3323055034080,42198026688,2017357389696,89850060288,5071570479360,49,49
50,AdAc5h3h,AA53 (ss),AA(53),12,69.131017,47.694283,21.436734,63.962621,0.83949,41.932115,1.882705,4837698364992,2174358146688,10143140958720,1621954704600,21287674104,1063308390528,47741365632,2535785239680,50,50
51,AdAc6c4h,AA64 (ss),(A6)A4,24,69.117509,48.785716,20.331793,65.495247,0.832391,39.777765,1.771642,9896807842080,4124564839680,20286281917440,3321637601808,42215310720,2017357389696,89850060288,5071570479360,51,51
52,AdAcTc2d,AAT2 (ds),(AT)(A2),12,69.093288,52.499288,16.594,67.847546,0.57351,32.303895,1.76821,5325076801332,1683152814336,10143140958720,1720468048380,14542978464,819157406208,44838001920,2535785239680,52,52
53,AdAc5h2h,AA52 (ss),AA(52),12,69.085979,47.263623,21.822356,63.181495,0.696784,42.665301,1.95882,4794015940512,2213472288768,10143140958720,1602147020820,17668947540,1081900411584,49671465600,2535785239680,53,53
54,AdAc6d6c,AA66 (ds),(A6)(A6),6,69.056338,54.683489,14.37285,70.266805,0.257514,28.251647,0.988104,2773311674352,728929195392,5071570479360,890907632808,3265003860,358200546432,12528102528,1267892619840,54,54
55,AdAcJc2d,AAJ2 (ds),(AJ)(A2),12,69.042281,52.448281,16.594,67.744731,0.573802,32.303895,1.76821,5319903051456,1683152814336,10143140958720,1717860894204,14550391764,819157406208,44838001920,2535785239680,55,55
56,AdAcKc2d,AAK2 (ds),(AK)(A2),12,69.039876,52.445876,16.594,67.698846,0.574765,32.303895,1.76821,5319659157048,1683152814336,10143140958720,1716697353000,14574812112,819157406208,44838001920,2535785239680,56,56
57,AdAcQc2d,AAQ2 (ds),(AQ)(A2),12,69.025535,52.431535,16.594,67.695753,0.574202,32.303895,1.76821,5318204512296,1683152814336,10143140958720,1716618911292,14560518744,819157406208,44838001920,2535785239680,57,57
58,AdAc5h4h,AA54 (ss),AA(54),12,69.013026,48.09665,20.916375,64.685234,0.986055,40.928015,1.809472,4878511052292,2121577450368,10143140958720,1640278604904,25004230440,1037846567040,45884316288,2535785239680,58,58
59,AdAc6h5c,AA65 (ss),(A5)A6,24,68.95849,49.262309,19.696181,66.219025,0.979951,38.541718,1.701289,9993490868280,3995622815232,20286281917440,3358344532872,49698885984,1954670376192,86282062848,5071570479360,59,59
60,AdAc6c5h,AA65 (ss),(A6)A5,24,68.950956,49.254775,19.696181,66.20758,0.980303,38.541718,1.701289,9991962598896,3995622815232,20286281917440,3357764091504,49716747528,1954670376192,86282062848,5071570479360,60,60
61,AdAcTc3d,AAT3 (ds),(AT)(A3),12,68.872285,52.648513,16.223773,68.127295,0.574682,31.606182,1.682726,5340212855088,1645600125696,10143140958720,1727561896800,14572700160,801464904960,42670315776,2535785239680,61,61
62,AdAcJc3d,AAJ3 (ds),(AJ)(A3),12,68.820986,52.597214,16.223773,68.023897,0.574974,31.606182,1.682726,5335009540428,1645600125696,10143140958720,1724939944680,14580113460,801464904960,42670315776,2535785239680,62,62
63,AdAcKc3d,AAK3 (ds),(AK)(A3),12,68.818295,52.594523,16.223773,67.9772,0.575937,31.606182,1.682726,5334736554708,1645600125696,10143140958720,1723755791676,14604533808,801464904960,42670315776,2535785239680,63,63
64,AdAcQc3d,AAQ3 (ds),(AQ)(A3),12,68.804083,52.580311,16.223773,67.974496,0.575374,31.606182,1.682726,5333295046212,1645600125696,10143140958720,1723687225488,14590240440,801464904960,42670315776,2535785239680,64,64
65,AdAc8c6d,AA86 (ds),(A8)(A6),12,68.73179,51.499048,17.232742,68.836118,0.759557,33.646127,1.638715,5223621016632,1747941324672,10143140958720,1745536114812,19260739500,853193514048,41554296576,2535785239680,65,65
66,AdAc2h2c,AA22 (ss),(A2)A2,24,68.617643,51.601139,17.016504,65.924564,0.349545,33.410623,1.244772,10467952553976,3452016010752,20286281917440,3343410702240,17727443112,1694443270656,63129469440,5071570479360,66,66
67,AdAc3h3c,AA33 (ss),(A3)A3,24,68.581907,51.976817,16.60509,66.612886,0.349562,32.618991,1.182378,10544163575472,3368555364864,20286281917440,3378319468152,17728261584,1654295104512,59965155840,5071570479360,67,67
68,AdAc7h3c,AA73 (ss),(A3)A7,24,68.517438,48.456129,20.061309,64.840092,0.632875,39.197765,1.849706,9829946929488,4069693704192,20286281917440,3288410988960,32096681448,1987942267776,93809168640,5071570479360,68,68
69,AdAc7c3h,AA73 (ss),(A7)A3,24,68.494104,48.432795,20.061309,64.80453,0.633343,39.197765,1.849706,9825213254520,4069693704192,20286281917440,3286607403288,32120458080,1987942267776,93809168640,5071570479360,69,69
70,AdAc6c3c,AA63 (3s),(A63)A,12,68.490352,47.648575,20.841777,63.683315,0.691915,40.761116,1.844875,4833062129916,2114010787200,10143140958720,1614872110020,17545491084,1033614353856,46782079488,2535785239680,70,70
71,AdAcTc4d,AAT4 (ds),(AT)(A4),12,68.476255,52.781134,15.695121,68.372584,0.577296,30.589928,1.600629,5353664829864,1591978265856,10143140958720,1733781893952,14638974564,775694871552,40588522752,2535785239680,71,71
72,AdAc7h4c,AA74 (ss),(A4)A7,24,68.44959,48.896562,19.553028,65.64117,0.775247,38.21782,1.776473,9919294483152,3966582415872,20286281917440,3329038201704,39317204400,1938243672960,90095069952,5071570479360,72,72
73,AdAc7c4h,AA74 (ss),(A7)A4,24,68.433671,48.880643,19.553028,65.620622,0.775746,38.21782,1.776473,9916065021696,3966582415872,20286281917440,3327996102552,39342509952,1938243672960,90095069952,5071570479360,73,73
74,AdAc6c2c,AA62 (3s),(A62)A,12,68.427817,47.210794,21.217023,62.888127,0.54881,41.473552,1.92099,4788657358152,2152072600320,10143140958720,1594707834948,13916650860,1051680210432,48712179456,2535785239680,74,74
75,AdAcJc4d,AAJ4 (ds),(AJ)(A4),12,68.424326,52.729205,15.695121,68.267925,0.577588,30.589928,1.600629,5348397582948,1591978265856,10143140958720,1731127960152,14646387864,775694871552,40588522752,2535785239680,75,75
76,AdAcKc4d,AAK4 (ds),(AK)(A4),12,68.421251,52.72613,15.695121,68.22022,0.578551,30.589928,1.600629,5348085661068,1591978265856,10143140958720,1729918272924,14670808212,775694871552,40588522752,2535785239680,76,76
77,AdAcQc4d,AAQ4 (ds),(AQ)(A4),12,68.407186,52.712065,15.695121,68.21794,0.577987,30.589928,1.600629,5346659010348,1591978265856,10143140958720,1729860443016,14656514844,775694871552,40588522752,2535785239680,77,77
78,AdAc6c4c,AA64 (3s),(A64)A,12,68.403903,48.07211,20.331793,64.448574,0.837894,39.777765,1.771642,4876021858020,2062282419840,10143140958720,1634277429768,21247198296,1008678694848,44925030144,2535785239680,78,78
79,AdAc7h2c,AA72 (ss),(A2)A7,24,68.384715,47.949862,20.434853,63.902832,0.499533,39.906795,1.925821,9727244114760,4145471884032,20286281917440,3240877150800,25334148264,2023901257728,97669368576,5071570479360,79,79
80,AdAc7c2h,AA72 (ss),(A7)A2,24,68.353389,47.918536,20.434853,63.851179,0.499816,39.906795,1.925821,9720889300224,4145471884032,20286281917440,3238257554088,25348518960,2023901257728,97669368576,5071570479360,80,80
81,AdAc4h4c,AA44 (ss),(A4)A4,24,68.351361,52.32913,16.022231,67.253575,0.350697,31.483246,1.122433,10615634772144,3250314972672,20286281917440,3410812430856,17785824144,1596694986240,56925000192,5071570479360,81,81
82,AdAc7h5c,AA75 (ss),(A5)A7,24,68.31453,49.394507,18.920023,66.392372,0.920796,36.986986,1.70612,10020308935752,3838169199360,20286281917440,3367135927848,46698796344,1875821063424,86527072512,5071570479360,82,82
83,AdAc6h3h,AA63 (ss),AA(63),12,68.309849,47.468072,20.841777,63.488225,0.704835,40.761116,1.844875,4814753448228,2114010787200,10143140958720,1609925027916,17873106648,1033614353856,46782079488,2535785239680,83,83
84,AdAc7c5h,AA75 (ss),(A7)A5,24,68.307947,49.387924,18.920023,66.387658,0.921326,36.986986,1.70612,10018973491968,3838169199360,20286281917440,3366896888136,46725713328,1875821063424,86527072512,5071570479360,84,84
85,AdAc3h2s,AA32 (r),AA32,12,68.270764,45.695903,22.574861,60.896249,0.744748,44.090158,2.119129,4634999854272,2289800016000,10143140958720,1544198081460,18885198408,1118031722112,53736571776,2535785239680,85,85
86,AdAc6h2h,AA62 (ss),AA(62),12,68.244669,47.027645,21.217023,62.687343,0.562571,41.473552,1.92099,4770080331300,2152072600320,10143140958720,1589616385500,14265604908,1051680210432,48712179456,2535785239680,86,86
87,AdAc6c5c,AA65 (3s),(A65)A,12,68.237338,48.541157,19.696181,65.161331,0.986067,38.541718,1.701289,4923597950220,1997811407616,10143140958720,1652351411964,25004547444,977335188096,43141031424,2535785239680,87,87
88,AdAc6h4h,AA64 (ss),AA(64),12,68.226115,47.894322,20.331793,64.25933,0.849943,39.777765,1.771642,4857988577940,2062282419840,10143140958720,1629478610268,21552741300,1008678694848,44925030144,2535785239680,88,88
89,AdAc4h3s,AA43 (r),AA43,12,68.18508,46.307984,21.877096,62.025264,0.900271,42.77376,1.960863,4697084127552,2219024675328,10143140958720,1572827500488,22828940568,1084650703872,49723267584,2535785239680,89,89
90,AdAc4h2s,AA42 (r),AA42,12,68.144627,45.871149,22.273479,61.239758,0.741931,43.528469,2.036977,4652775258300,2259230332800,10143140958720,1552908734484,18813768720,1103788482624,51653367552,2535785239680,90,90
91,AdAc9c2d,AA92 (ds),(A9)(A2),12,68.094017,51.500017,16.594,66.976604,0.451617,32.303895,1.76821,5223719347116,1683152814336,10143140958720,1698382831752,11452037400,819157406208,44838001920,2535785239680,91,91
92,AdAc6h5h,AA65 (ss),AA(65),12,68.063131,48.36695,19.696181,64.977202,0.997248,38.541718,1.701289,4905927929112,1997811407616,10143140958720,1647682289724,25288060704,977335188096,43141031424,2535785239680,92,92
93,AdAc8c7d,AA87 (ds),(A8)(A7),12,68.040222,52.083785,15.956437,69.410256,0.895871,31.176985,1.471778,5282931691248,1618483929600,10143140958720,1760095020384,22717358760,790581396480,37321136640,2535785239680,93,93
94,AdAc5h5c,AA55 (ss),(A5)A5,24,68.004434,52.719004,15.28543,67.874327,0.352066,30.038392,1.064936,10694725816944,3100845451776,20286281917440,3442294344864,17855279328,1523418224640,54009002496,5071570479360,94,94
