rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
8351,JcTc6d4h,JT64 (ss),(JT)64,24,49.631216,48.635315,1.991801,2466574302720,101015587416,5071570479360,8351,8351
8352,QcJd6s6h,QJ66 (r),QJ66,12,49.62973,49.060862,1.137736,1244078094612,28850549400,2535785239680,8352,8352
8353,QcJd7c4h,QJ74 (ss),(Q7)J4,24,49.629658,48.692019,1.875277,2469450084480,95105991720,5071570479360,8353,8353
8354,QcJd9h7s,QJ97 (r),QJ97,24,49.62849,48.526987,2.203006,2461080337536,111726990504,5071570479360,8354,8354
8355,Qc9d8d5h,Q985 (ss),Q(98)5,24,49.625279,48.731427,1.787704,2471448653928,90664645944,5071570479360,8355,8355
8356,QcJdTd3d,QJT3 (3s),Q(JT3),12,49.623685,48.644393,1.958585,1233517329816,49665504360,2535785239680,8356,8356
8357,KcTc9c5c,KT95 (m),(KT95),4,49.620822,48.667647,1.90635,411369002524,16113648792,845261746560,8357,8357
8358,QcTc4d2d,QT42 (ds),(QT)(42),12,49.619319,48.828376,1.581887,1238182751676,40113244836,2535785239680,8358,8358
8359,KcTc6c5c,KT65 (m),(KT65),4,49.619137,48.602465,2.033344,410818043548,17187082944,845261746560,8359,8359
8360,AcQd8h2h,AQ82 (ss),AQ(82),24,49.618813,48.702822,1.831984,2469997918848,92910353256,5071570479360,8360,8360
8361,9d9c8h3s,9983 (r),9983,12,49.616791,49.231288,0.771005,1248399742644,19551037332,2535785239680,8361,8361
8362,KcQd7d4d,KQ74 (3s),K(Q74),12,49.61592,48.659015,1.913811,1233888112992,48530134440,2535785239680,8362,8362
8363,AcQd7h3h,AQ73 (ss),AQ(73),24,49.615337,48.705769,1.819136,2470147419624,92258762016,5071570479360,8363,8363
8364,8d8c2h2c,8822 (ss),(82)82,24,49.61438,49.516482,0.195796,2511263282352,9929915784,5071570479360,8364,8364
8365,Ac8h8d4s,A884 (r),A884,12,49.612312,49.303697,0.61723,1250235865260,15651621492,2535785239680,8365,8365
8366,QcJc6c4d,QJ64 (3s),(QJ6)4,12,49.611503,48.607625,2.007756,1232584973328,50912386536,2535785239680,8366,8366
8367,KcTc8d4c,KT84 (3s),(KT4)8,12,49.610519,48.66522,1.890599,1234045462236,47941520508,2535785239680,8367,8367
8368,JcTd9h5d,JT95 (ss),J(T5)9,24,49.609827,48.657015,1.905623,2467674813648,96645035520,5071570479360,8368,8368
8369,JcTc7d2d,JT72 (ds),(JT)(72),12,49.609062,48.834396,1.54933,1238335417440,39287692440,2535785239680,8369,8369
8370,Qc7d4d4c,Q744 (ds),(Q4)(74),12,49.609029,49.333475,0.551109,1250990971560,13974935112,2535785239680,8370,8370
8371,KcTc9c2d,KT92 (3s),(KT9)2,12,49.607365,48.679808,1.855113,1234415392596,47041686432,2535785239680,8371,8371
8372,Tc9c5d3d,T953 (ds),(T9)(53),12,49.605647,48.780146,1.651002,1236959744064,41865853644,2535785239680,8372,8372
8373,QcJcTc5c,QJT5 (m),(QJT5),4,49.605274,48.609943,1.990662,410881250492,16826302404,845261746560,8373,8373
8374,QcTd7d4h,QT74 (ss),Q(T7)4,24,49.605269,48.638814,1.93291,2466751750752,98028900744,5071570479360,8374,8374
8375,QcJcTc2d,QJT2 (3s),(QJT)2,12,49.604099,48.631893,1.944412,1233200366220,49306110384,2535785239680,8375,8375
8376,KcJc7d3h,KJ73 (ss),(KJ)73,24,49.602274,48.709315,1.785918,2470327220952,90574107000,5071570479360,8376,8376
8377,AcJd9h6s,AJ96 (r),AJ96,24,49.59968,48.555347,2.088666,2462518648488,105928168824,5071570479360,8377,8377
8378,AcTd9h4s,AT94 (r),AT94,24,49.599126,48.535901,2.126449,2461532437008,107844361128,5071570479360,8378,8378
8379,JcTd3c2d,JT32 (ds),(J3)(T2),12,49.598731,48.77657,1.644322,1236869064924,41696462760,2535785239680,8379,8379
8380,JcTd3d2c,JT32 (ds),(J2)(T3),12,49.598543,48.776382,1.644322,1236864303180,41696462760,2535785239680,8380,8380
8381,7d7c5c4h,7754 (ss),(75)74,24,49.598465,49.152914,0.891102,2492824654056,45192886944,5071570479360,8381,8381
8382,6c5d5c3d,6553 (ds),(65)(53),12,49.597699,49.239595,0.716209,1248610375212,18161524488,2535785239680,8382,8382
8383,Jc9c5d5c,J955 (3s),(J95)5,12,49.596833,49.109892,0.973882,1245321398328,24695555208,2535785239680,8383,8383
8384,AcKd4c2c,AK42 (3s),(A42)K,12,49.595884,48.615914,1.959942,1232795161092,49699908948,2535785239680,8384,8384
8385,Tc7d7c5c,T775 (3s),(T75)7,12,49.595871,49.246473,0.698796,1248784783032,17719961880,2535785239680,8385,8385
8386,9d9c6h4s,9964 (r),9964,12,49.595802,49.164892,0.861819,1246716085464,21853881972,2535785239680,8386,8386
8387,7d7c5h4c,7754 (ss),(74)75,24,49.595422,49.149382,0.892079,2492645551992,45242421816,5071570479360,8387,8387
8388,JcTd6d2c,JT62 (ds),(J2)(T6),12,49.593966,48.815288,1.557358,1237850858172,39491246748,2535785239680,8388,8388
8389,Kc9d8d5h,K985 (ss),K(98)5,24,49.59254,48.717524,1.750034,2470743548616,88754186928,5071570479360,8389,8389
8390,Jc9d7h5c,J975 (ss),(J5)97,24,49.59199,48.661646,1.860688,2467909689768,94366108392,5071570479360,8390,8390
8391,QcJc6d4c,QJ64 (3s),(QJ4)6,12,49.591617,48.587957,2.007319,1232086247124,50901289632,2535785239680,8391,8391
8392,AcQd2h2c,AQ22 (ss),(A2)Q2,24,49.5909,49.104423,0.972954,2490365404368,49344037296,5071570479360,8392,8392
8393,AcQd8h4s,AQ84 (r),AQ84,24,49.590581,48.529953,2.121257,2461230760968,107581021968,5071570479360,8393,8393
8394,KcTd5h4h,KT54 (ss),KT(54),24,49.588799,48.59907,1.979458,2464736111976,100389596424,5071570479360,8394,8394
8395,KcQd5d3d,KQ53 (3s),K(Q53),12,49.587673,48.586824,2.001697,1232057519028,50758741752,2535785239680,8395,8395
8396,AcQd4h2c,AQ42 (ss),(A2)Q4,24,49.586311,48.668798,1.835027,2468272395096,93064679688,5071570479360,8396,8396
8397,9c7d7c3h,9773 (ss),(97)73,24,49.586045,49.249293,0.673503,2497712625792,34157192376,5071570479360,8397,8397
8398,QcJd7h4c,QJ74 (ss),(Q4)J7,24,49.585955,48.648862,1.874185,2467261321296,95050635384,5071570479360,8398,8398
8399,AcQd4c2h,AQ42 (ss),(A4)Q2,24,49.584526,48.666917,1.835219,2468176972104,93074408712,5071570479360,8399,8399
8400,AcKc8c2d,AK82 (3s),(AK8)2,12,49.584399,48.676036,1.816725,1234319740836,46068250944,2535785239680,8400,8400
8401,JcTd6c2d,JT62 (ds),(J6)(T2),12,49.583393,48.804738,1.55731,1237583351784,39490036320,2535785239680,8401,8401
8402,AcJc9c2c,AJ92 (m),(AJ92),4,49.582986,48.622588,1.920796,410988138852,16235753256,845261746560,8402,8402
8403,AcJc5c3d,AJ53 (3s),(AJ5)3,12,49.582722,48.631208,1.903027,1233183006120,48256688592,2535785239680,8403,8403
8404,AcQd7c3c,AQ73 (3s),(A73)Q,12,49.582391,48.668933,1.826916,1234139621784,46326673476,2535785239680,8404,8404
8405,Jc9d8d6h,J986 (ss),J(98)6,24,49.582257,48.659775,1.844964,2467814796000,93568633584,5071570479360,8405,8405
8406,KcTd3c2d,KT32 (ds),(K3)(T2),12,49.581777,48.823485,1.516584,1238058735996,38457302544,2535785239680,8406,8406
8407,KcJd6c4c,KJ64 (3s),(K64)J,12,49.58171,48.610339,1.942741,1232653802784,49263746472,2535785239680,8407,8407
8408,KcTd3d2c,KT32 (ds),(K2)(T3),12,49.581255,48.822964,1.516584,1238045506308,38457302544,2535785239680,8408,8408
8409,AcJc5d3c,AJ53 (3s),(AJ3)5,12,49.57834,48.626894,1.902892,1233073602096,48253246368,2535785239680,8409,8409
8410,JcTd8h7s,JT87 (r),JT87,24,49.575765,48.431832,2.287866,2456254496568,116030723064,5071570479360,8410,8410
8411,JcTc7d5c,JT75 (3s),(JT5)7,12,49.574861,48.565532,2.018658,1231517593104,51188828316,2535785239680,8411,8411
8412,QcTc8c4d,QT84 (3s),(QT8)4,12,49.571853,48.608398,1.926911,1232604578940,48862327104,2535785239680,8412,8412
8413,KcJc9d4c,KJ94 (3s),(KJ4)9,12,49.569666,48.656838,1.825656,1233832921140,46294704684,2535785239680,8413,8413
8414,9c7h7d4d,9774 (ss),9(74)7,24,49.569459,49.225426,0.688067,2496502161456,34895806680,5071570479360,8414,8414
8415,7d7c4c2d,7742 (ds),(74)(72),12,49.569362,49.293579,0.551566,1249979298696,13986531948,2535785239680,8415,8415
8416,QcTd9h3d,QT93 (ss),Q(T3)9,24,49.56801,48.634547,1.866927,2466535315104,94682514480,5071570479360,8416,8416
8417,KcQc9d2h,KQ92 (ss),(KQ)92,24,49.56795,48.693921,1.748057,2469546536880,88653921600,5071570479360,8417,8417
8418,KcTd8c4c,KT84 (3s),(K84)T,12,49.566736,48.619451,1.894571,1232884857996,48042255456,2535785239680,8418,8418
8419,AcKdTh2s,AKT2 (r),AKT2,24,49.563694,48.488363,2.150662,2459121510096,109072354896,5071570479360,8419,8419
8420,JcTd7h4h,JT74 (ss),JT(74),24,49.562335,48.570094,1.984482,2463266529384,100644419376,5071570479360,8420,8420
8421,Qc7d7c5c,Q775 (3s),(Q75)7,12,49.560842,49.259841,0.602003,1249123773648,15265496100,2535785239680,8421,8421
8422,AcKc6c3c,AK63 (m),(AK63),4,49.56004,48.588473,1.943135,410699773488,16424572920,845261746560,8422,8422
8423,QcJd9d4h,QJ94 (ss),Q(J9)4,24,49.55923,48.645406,1.827647,2467086063744,92690384256,5071570479360,8423,8423
8424,QcJc9c5c,QJ95 (m),(QJ95),4,49.559028,48.566054,1.985949,410510272100,16786464816,845261746560,8424,8424
8425,QcJc4d4c,QJ44 (3s),(QJ4)4,12,49.557969,49.034929,1.046081,1243420479912,26526358632,2535785239680,8425,8425
8426,AcJd7c2h,AJ72 (ss),(A7)J2,24,49.557967,48.695545,1.724842,2469628903992,87476600112,5071570479360,8426,8426
8427,Tc8c5d4d,T854 (ds),(T8)(54),12,49.555401,48.754184,1.602435,1236301396668,40634302968,2535785239680,8427,8427
8428,QcJdTh7s,QJT7 (r),QJT7,24,49.552757,48.456099,2.193317,2457485191128,111235634016,5071570479360,8428,8428
8429,Qc9c6d2d,Q962 (ds),(Q9)(62),12,49.552245,48.801535,1.50142,1237502120856,38072790660,2535785239680,8429,8429
8430,QcTd9h7s,QT97 (r),QT97,24,49.552019,48.45255,2.198939,2457305197560,111520758696,5071570479360,8430,8430
8431,TdTc5h2s,TT52 (r),TT52,12,49.550674,49.225328,0.650691,1248248612496,16500118848,2535785239680,8431,8431
8432,Ac9d8h2h,A982 (ss),A9(82),24,49.55052,48.635709,1.829623,2466594242112,92790605880,5071570479360,8432,8432
8433,KcJd9d2h,KJ92 (ss),K(J9)2,24,49.550438,48.653131,1.794613,2467477836072,91015049976,5071570479360,8433,8433
8434,Ac9c8c2d,A982 (3s),(A98)2,12,49.548605,48.631566,1.834077,1233192075348,46508252652,2535785239680,8434,8434
8435,AcJc6d3h,AJ63 (ss),(AJ)63,24,49.54823,48.690644,1.715172,2469380338296,86986156368,5071570479360,8435,8435
8436,Qc9c7d5h,Q975 (ss),(Q9)75,24,49.547368,48.645701,1.803332,2467101027720,91457276400,5071570479360,8436,8436
8437,Ac7d6d5d,A765 (3s),A(765),12,49.546286,48.636762,1.819047,1233323842992,46127132304,2535785239680,8437,8437
8438,AcKc2d2c,AK22 (3s),(AK2)2,12,49.544755,49.021873,1.045765,1243089412092,26518354584,2535785239680,8438,8438
8439,AcQc5c3c,AQ53 (m),(AQ53),4,49.543605,48.540564,2.006082,410294816232,16956644736,845261746560,8439,8439
8440,Kc7h7d4d,K774 (ss),K(74)7,24,49.542724,49.295268,0.494911,2500044268008,25099757448,5071570479360,8440,8440
8441,QcJd9h4c,QJ94 (ss),(Q4)J9,24,49.542097,48.630089,1.824016,2466309242568,92506264992,5071570479360,8441,8441
8442,QcTd7h4d,QT74 (ss),Q(T4)7,24,49.540436,48.574374,1.932125,2463483613800,97989074304,5071570479360,8442,8442
8443,Ac9d7d3h,A973 (ss),A(97)3,24,49.539063,48.634457,1.80921,2466530786808,91755373560,5071570479360,8443,8443
8444,AcQd5d2h,AQ52 (ss),A(Q5)2,24,49.538817,48.615621,1.846394,2465575458408,93641153712,5071570479360,8444,8444
8445,Ac8d6d5d,A865 (3s),A(865),12,49.538732,48.629032,1.819399,1233127824732,46136061312,2535785239680,8445,8445
8446,Qc8h8d5s,Q885 (r),Q885,12,49.537878,49.196774,0.682208,1247524537068,17299325496,2535785239680,8446,8446
8447,KcJd8h4h,KJ84 (ss),KJ(84),24,49.537587,48.619611,1.835953,2465777815440,93111647592,5071570479360,8447,8447
8448,KcQd3h3d,KQ33 (ss),K(Q3)3,24,49.537215,49.048539,0.977353,2487531213432,49567147056,5071570479360,8448,8448
8449,AcQd5h2d,AQ52 (ss),A(Q2)5,24,49.535482,48.612458,1.846049,2465415054816,93623654400,5071570479360,8449,8449
8450,AcKd4h2h,AK42 (ss),AK(42),24,49.535159,48.559823,1.950672,2462745652344,98929690272,5071570479360,8450,8450
8451,7c5d5c3d,7553 (ds),(75)(53),12,49.535101,49.208207,0.653788,1247814440256,16578657300,2535785239680,8451,8451
8452,JcTd7c5c,JT75 (3s),(J75)T,12,49.534582,48.523272,2.022621,1230445961796,51289330812,2535785239680,8452,8452
8453,Jc7h7d4c,J774 (ss),(J4)77,12,49.533715,49.233415,0.6006,1248453667344,15229931088,2535785239680,8453,8453
8454,KcTc5d4c,KT54 (3s),(KT4)5,12,49.533,48.54004,1.985921,1230871160508,50358688116,2535785239680,8454,8454
8455,7d7c6c5c,7765 (3s),(765)7,12,49.530831,49.072762,0.916138,1244379846048,23231290080,2535785239680,8455,8455
8456,AcJd6d4d,AJ64 (3s),A(J64),12,49.530025,48.586244,1.887561,1232042811072,47864501928,2535785239680,8456,8456
8457,KcTc5c4d,KT54 (3s),(KT5)4,12,49.529046,48.53612,1.985852,1230771758652,50356940424,2535785239680,8457,8457
8458,AcJd3h3d,AJ33 (ss),A(J3)3,24,49.528594,49.063725,0.929737,2488301413152,47152282080,5071570479360,8458,8458
8459,QcTd8h6s,QT86 (r),QT86,24,49.528433,48.41723,2.222406,2455513935936,112710890040,5071570479360,8459,8459
8460,Kc9d7d5d,K975 (3s),K(975),12,49.526274,48.584612,1.883323,1232001429252,47757038484,2535785239680,8460,8460
8461,QcTd6d4d,QT64 (3s),Q(T64),12,49.525747,48.494865,2.061763,1229725639908,52281879408,2535785239680,8461,8461
8462,Tc9c8d6h,T986 (ss),(T9)86,24,49.525087,48.590873,1.868429,2464320360168,94758704064,5071570479360,8462,8462
8463,Jc8d5h5d,J855 (ss),J(85)5,24,49.52397,49.080519,0.886903,2489153101848,44979891576,5071570479360,8463,8463
8464,AcQd8c2c,AQ82 (3s),(A82)Q,12,49.523077,48.60325,1.839655,1232474027676,46649704872,2535785239680,8464,8464
8465,KcQd9h3d,KQ93 (ss),K(Q3)9,24,49.521234,48.639196,1.764075,2466771122928,89466298512,5071570479360,8465,8465
8466,QcTd9h2c,QT92 (ss),(Q2)T9,24,49.519946,48.593916,1.85206,2464474694952,93928510632,5071570479360,8466,8466
8467,Tc9d8c6h,T986 (ss),(T8)96,24,49.516881,48.581666,1.870429,2463853431696,94860145584,5071570479360,8467,8467
8468,KcJd9c4c,KJ94 (3s),(K94)J,12,49.515844,48.600603,1.830481,1232406927024,46417064160,2535785239680,8468,8468
8469,JcTd9h5h,JT95 (ss),JT(95),24,49.515689,48.56082,1.909738,2462796217536,96853697232,5071570479360,8469,8469
8470,Jc7d5d4c,J754 (ds),(J4)(75),12,49.515687,48.748351,1.53467,1236153501216,38915938524,2535785239680,8470,8470
8471,Ac6d6c4c,A664 (3s),(A64)6,12,49.51234,49.226104,0.572472,1248268280100,14516663568,2535785239680,8471,8471
8472,JcTd6c4h,JT64 (ss),(J6)T4,24,49.512043,48.514698,1.99469,2460457090176,101162104896,5071570479360,8472,8472
8473,KcTd8h6s,KT86 (r),KT86,24,49.511531,48.422982,2.177098,2455805676360,110413043448,5071570479360,8473,8473
8474,Jc9c8d5h,J985 (ss),(J9)85,24,49.509451,48.603874,1.811155,2464979715768,91854010584,5071570479360,8474,8474
8475,AcKc9c3c,AK93 (m),(AK93),4,49.509404,48.581776,1.855255,410643169008,15681761796,845261746560,8475,8475
8476,Qc9d8h5d,Q985 (ss),Q(95)8,24,49.509086,48.615337,1.787499,2465561073120,90654269184,5071570479360,8476,8476
8477,Jc9d8h6d,J986 (ss),J(96)8,24,49.509024,48.586219,1.845611,2464084331208,93601456440,5071570479360,8477,8477
8478,KcQcJc2c,KQJ2 (m),(KQJ2),4,49.508432,48.545143,1.926577,410333527712,16284617700,845261746560,8478,8478
8479,Qc8h8d2c,Q882 (ss),(Q2)88,12,49.508365,49.294403,0.427924,1250000192712,10851230820,2535785239680,8479,8479
8480,8d8c7h3h,8873 (ss),88(73),12,49.50711,49.156678,0.700864,1246507781988,17772415512,2535785239680,8480,8480
8481,Qc8h8d2d,Q882 (ss),Q(82)8,24,49.506408,49.299054,0.414709,2500236249960,21032251680,5071570479360,8481,8481
8482,JcTd9d4h,JT94 (ss),J(T9)4,24,49.505293,48.557382,1.895822,2462621864904,96147955920,5071570479360,8482,8482
8483,Jc7d5c4d,J754 (ds),(J5)(74),12,49.50487,48.737503,1.534735,1235878411164,38917572276,2535785239680,8483,8483
8484,AcTc6c4c,AT64 (m),(AT64),4,49.504636,48.532006,1.94526,410222479152,16442538012,845261746560,8484,8484
8485,Kc9d8h5d,K985 (ss),K(95)8,24,49.504376,48.629264,1.750223,2466267419160,88763814120,5071570479360,8485,8485
8486,AcJd8d2d,AJ82 (3s),A(J82),12,49.503531,48.559024,1.889014,1231352566704,47901344292,2535785239680,8486,8486
8487,9d9c7h3s,9973 (r),9973,12,49.503342,49.103215,0.800253,1245152087808,20292698796,2535785239680,8487,8487
8488,QcTc9c4d,QT94 (3s),(QT9)4,12,49.50297,48.556467,1.893006,1231287719736,48002574936,2535785239680,8488,8488
8489,Qc9d7c5h,Q975 (ss),(Q7)95,24,49.502627,48.60014,1.804974,2464790331168,91540553016,5071570479360,8489,8489
8490,9c5d5c4d,9554 (ds),(95)(54),12,49.500372,49.209504,0.581736,1247847351192,14751567720,2535785239680,8490,8490
8491,AcJd7h2c,AJ72 (ss),(A2)J7,24,49.50013,48.638463,1.723333,2466733954344,87400043808,5071570479360,8491,8491
8492,KcTd4h4c,KT44 (ss),(K4)T4,24,49.499652,49.055367,0.88857,2487877487160,45064470432,5071570479360,8492,8492
8493,AcTc8c2c,AT82 (m),(AT82),4,49.499337,48.524407,1.949859,410158250268,16481415396,845261746560,8493,8493
8494,Jc9d8c5h,J985 (ss),(J8)95,24,49.498793,48.592008,1.813569,2464377951744,91976439744,5071570479360,8494,8494
8495,QcTc7d2d,QT72 (ds),(QT)(72),12,49.498498,48.745252,1.506493,1236074907996,38201417100,2535785239680,8495,8495
8496,KcJcTc2c,KJT2 (m),(KJT2),4,49.497882,48.519998,1.95577,410120978544,16531372884,845261746560,8496,8496
8497,AcQd5h4s,AQ54 (r),AQ54,24,49.497821,48.35153,2.292581,2452181926224,116269884000,5071570479360,8497,8497
8498,AcKc8d2c,AK82 (3s),(AK2)8,12,49.497705,48.590182,1.815046,1232142670404,46025671296,2535785239680,8498,8498
8499,KcJd9h3h,KJ93 (ss),KJ(93),24,49.49716,48.592661,1.808997,2464411071240,91744565832,5071570479360,8499,8499
8500,Kc9c5d2d,K952 (ds),(K9)(52),12,49.497146,48.780695,1.432901,1236973675308,36335290836,2535785239680,8500,8500
8501,QcJd8h4h,QJ84 (ss),QJ(84),24,49.496726,48.562509,1.868435,2462881870752,94758990936,5071570479360,8501,8501
8502,Ac7d6s6h,A766 (r),A766,12,49.495893,49.010815,0.970156,1242809009196,24601082328,2535785239680,8502,8502
8503,Qc6d6c2d,Q662 (ds),(Q6)(62),12,49.495541,49.333632,0.323818,1250994948156,8211338700,2535785239680,8503,8503
8504,JcTc8c5d,JT85 (3s),(JT8)5,12,49.495484,48.507204,1.976559,1230038524776,50121299340,2535785239680,8504,8504
8505,Kc9c8c6c,K986 (m),(K986),4,49.494293,48.566924,1.854737,410517631720,15677384580,845261746560,8505,8505
8506,QcJd5d3h,QJ53 (ss),Q(J5)3,24,49.49332,48.511066,1.964508,2460272893416,99631388232,5071570479360,8506,8506
8507,QcJd5h3d,QJ53 (ss),Q(J3)5,24,49.492756,48.510645,1.964222,2460251561304,99616908912,5071570479360,8507,8507
8508,JcTd6h4c,JT64 (ss),(J4)T6,24,49.492694,48.495529,1.99433,2459484907296,101143856208,5071570479360,8508,8508
8509,9c7d6d5c,9765 (ds),(95)(76),12,49.491139,48.709811,1.562655,1235176208004,39625571256,2535785239680,8509,8509
8510,9c7d6c5d,9765 (ds),(96)(75),12,49.491112,48.70979,1.562644,1235175674904,39625287132,2535785239680,8510,8510
8511,QcTd9d5d,QT95 (3s),Q(T95),12,49.48795,48.531987,1.911926,1230666959808,48482343276,2535785239680,8511,8511
8512,AcKd4s4h,AK44 (r),AK44,12,49.485726,48.92091,1.129632,1240529223852,28645032000,2535785239680,8512,8512
8513,Ac8d4d3c,A843 (ds),(A3)(84),12,49.485621,48.796277,1.378688,1237368780516,34960576716,2535785239680,8513,8513
8514,KcTd9d3d,KT93 (3s),K(T93),12,49.484233,48.546916,1.874634,1231045521804,47536690152,2535785239680,8514,8514
8515,Qc9d5d2c,Q952 (ds),(Q2)(95),12,49.483794,48.739177,1.489233,1235920860516,37763750268,2535785239680,8515,8515
8516,AcJc8c3c,AJ83 (m),(AJ83),4,49.482988,48.532861,1.900254,410229711588,16062120540,845261746560,8516,8516
8517,Ac6d6c3h,A663 (ss),(A6)63,24,49.480787,49.249887,0.4618,2497742754048,23420493576,5071570479360,8517,8517
8518,QcJd6c4c,QJ64 (3s),(Q64)J,12,49.480078,48.47471,2.010735,1229214552876,50987913888,2535785239680,8518,8518
8519,KcJd7c3h,KJ73 (ss),(K7)J3,24,49.479843,48.58497,1.789746,2464020990480,90768224832,5071570479360,8519,8519
8520,Kc8d8c2h,K882 (ss),(K8)82,24,49.478867,49.319939,0.317856,2501295491352,16120277472,5071570479360,8520,8520
8521,Qc6d5d4c,Q654 (ds),(Q4)(65),12,49.476729,48.73857,1.476319,1235905456392,37436275812,2535785239680,8521,8521
8522,Qc9d5c2d,Q952 (ds),(Q5)(92),12,49.475803,48.731215,1.489177,1235718958464,37762325280,2535785239680,8522,8522
8523,AcJd4h3d,AJ43 (ss),A(J3)4,24,49.474492,48.529878,1.889229,2461226956752,95813571864,5071570479360,8523,8523
8524,AcJd5c3c,AJ53 (3s),(A53)J,12,49.474246,48.521378,1.905736,1230397930272,48325378992,2535785239680,8524,8524
8525,Ac8d4c3d,A843 (ds),(A4)(83),12,49.473706,48.784377,1.378659,1237067019204,34959823716,2535785239680,8525,8525
8526,Tc6d6c2d,T662 (ds),(T6)(62),12,49.472333,49.267332,0.410003,1249313724732,10396783872,2535785239680,8526,8526
8527,Qc8c7d6h,Q876 (ss),(Q8)76,24,49.470645,48.588755,1.76378,2464212970224,89451358584,5071570479360,8527,8527
8528,Qc9d7h5c,Q975 (ss),(Q5)97,24,49.468248,48.565514,1.805467,2463034295928,91565550024,5071570479360,8528,8528
8529,AcJd4d3h,AJ43 (ss),A(J4)3,24,49.467622,48.523022,1.8892,2460879278208,95812110192,5071570479360,8529,8529
8530,AcQc6c3d,AQ63 (3s),(AQ6)3,12,49.467493,48.554307,1.826373,1231232943576,46312902792,2535785239680,8530,8530
8531,Qc6d5c4d,Q654 (ds),(Q5)(64),12,49.466524,48.728334,1.47638,1235645901612,37437828780,2535785239680,8531,8531
8532,KcQd9c2h,KQ92 (ss),(K9)Q2,24,49.46574,48.588965,1.753552,2464223585904,88932612576,5071570479360,8532,8532
8533,QcJd7d4h,QJ74 (ss),Q(J7)4,24,49.465522,48.527085,1.876873,2461085337960,95186926032,5071570479360,8533,8533
8534,9c7c6d5d,9765 (ds),(97)(65),12,49.462545,48.68125,1.562591,1234451950668,39623948028,2535785239680,8534,8534
8535,QcTc8d4c,QT84 (3s),(QT4)8,12,49.462266,48.499173,1.926185,1229834881608,48843903348,2535785239680,8535,8535
8536,Ac8c7c4c,A874 (m),(A874),4,49.460454,48.521456,1.877995,410133310632,15873974244,845261746560,8536,8536
8537,Jc7c5d4d,J754 (ds),(J7)(54),12,49.459409,48.692005,1.534808,1234724676900,38919439980,2535785239680,8537,8537
8538,Qc9c8c6c,Q986 (m),(Q986),4,49.459228,48.509951,1.898553,410036063260,16047739284,845261746560,8538,8538
8539,Qc8d7c6h,Q876 (ss),(Q7)86,24,49.458985,48.576721,1.76453,2463602623080,89489364024,5071570479360,8539,8539
8540,JcTc5d4c,JT54 (3s),(JT4)5,12,49.458823,48.394927,2.127793,1227191410908,53956265904,2535785239680,8540,8540
8541,6d6c4c3d,6643 (ds),(64)(63),12,49.456705,49.124882,0.663645,1245701519112,16828601340,2535785239680,8541,8541
8542,Qc8d7h6c,Q876 (ss),(Q6)87,24,49.456462,48.573725,1.765474,2463450687912,89537245152,5071570479360,8542,8542
8543,QcTd9h3h,QT93 (ss),QT(93),24,49.456295,48.520763,1.871064,2460764715792,94892319312,5071570479360,8543,8543
8544,KcJdTh6s,KJT6 (r),KJT6,24,49.454283,48.385145,2.138276,2453886725544,108444166920,5071570479360,8544,8544
8545,JcTc5c4d,JT54 (3s),(JT5)4,12,49.454187,48.390386,2.127602,1227076265448,53951411040,2535785239680,8545,8545
8546,Tc9d8d6h,T986 (ss),T(98)6,24,49.453258,48.517796,1.870925,2460614205768,94885302096,5071570479360,8546,8546
8547,Ac9d7h3d,A973 (ss),A(93)7,24,49.453195,48.549172,1.808047,2462205480384,91696355424,5071570479360,8547,8547
8548,Kc6d5h5d,K655 (ss),K(65)5,24,49.452746,49.042015,0.821462,2487200338320,41661013536,5071570479360,8548,8548
8549,KcTc9d2c,KT92 (3s),(KT2)9,12,49.449889,48.522929,1.85392,1230437270472,47011430760,2535785239680,8549,8549
8550,Qc6c5d4d,Q654 (ds),(Q6)(54),12,49.449108,48.710862,1.476493,1235202844116,37440697908,2535785239680,8550,8550
8551,Kc9d3d3c,K933 (ds),(K3)(93),12,49.448529,49.150633,0.595791,1246354506312,15107982144,2535785239680,8551,8551
8552,KcTd7d3h,KT73 (ss),K(T7)3,24,49.447965,48.52182,1.852289,2460818322576,93940124064,5071570479360,8552,8552
8553,Jc9d7d5h,J975 (ss),J(97)5,24,49.446299,48.51509,1.862418,2460476965032,94453857912,5071570479360,8553,8553
8554,KcTd5c4c,KT54 (3s),(K54)T,12,49.44623,48.452314,1.987832,1228646630040,50407162656,2535785239680,8554,8554
8555,Ac9c8d2c,A982 (3s),(A92)8,12,49.445435,48.528884,1.833102,1230588289764,46483522056,2535785239680,8555,8555
8556,QcTc5d4c,QT54 (3s),(QT4)5,12,49.444982,48.417552,2.054859,1227765149244,52106798844,2535785239680,8556,8556
8557,AcJd7h4s,AJ74 (r),AJ74,24,49.442657,48.363803,2.157707,2452804376232,109429641864,5071570479360,8557,8557
8558,QcTc5c4d,QT54 (3s),(QT5)4,12,49.441016,48.413602,2.054828,1227664971672,52106027688,2535785239680,8558,8558
8559,QcTd3c2d,QT32 (ds),(Q3)(T2),12,49.440213,48.653424,1.57358,1233746335968,39902600520,2535785239680,8559,8559
8560,AcQc6d3c,AQ63 (3s),(AQ3)6,12,49.440126,48.527449,1.825353,1230551885064,46287044508,2535785239680,8560,8560
