rank,hand,label,notation,combos,equity_pct,win_pct,tie_pct,win_count,tie_count,denominator,rank_low,rank_high
93,AdAcTc8h,AAT8 (ss),(AT)A8,24,67.562264,67.077988,0.968554,3401907415296,49120881720,5071570479360,93,93
94,AdAcTh8c,AAT8 (ss),(A8)AT,24,67.561066,67.07652,0.969092,3401832979656,49148178840,5071570479360,94,94
95,KdKcJcTd,KKJT (ds),(KJ)(KT),12,67.536381,67.083086,0.906591,1701082990308,22989194940,2535785239680,95,95
96,AdAc9c3d,AA93 (ds),(A9)(A3),12,67.484046,67.257655,0.452781,1705509695436,11481543048,2535785239680,96,96
97,AcKdKc4d,AKK4 (ds),(AK)(K4),12,67.479014,67.111621,0.734786,1701806580816,18632603532,2535785239680,97,97
98,AdAc4c2d,AA42 (ds),(A4)(A2),12,67.445492,67.136868,0.617248,1702446790116,15652080312,2535785239680,98,98
99,AdAc4h4c,AA44 (ss),(A4)A4,24,67.428923,67.253575,0.350697,3410812430856,17785824144,5071570479360,99,99
100,AdAc9h8c,AA98 (ss),(A8)A9,24,67.424494,66.928587,0.991814,3394330468368,50300528520,5071570479360,100,100
101,AdAc9c8h,AA98 (ss),(A9)A8,24,67.415985,66.919969,0.992032,3393893387016,50311620552,5071570479360,101,101
102,AdAc8c3d,AA83 (ds),(A8)(A3),12,67.402847,67.176115,0.453463,1703442019920,11498846340,2535785239680,102,102
103,AcKdQdQc,AKQQ (ds),(AQ)(KQ),12,67.388226,66.897907,0.980639,1696387243896,24866906760,2535785239680,103,103
104,KdKc8d8c,KK88 (ds),(K8)(K8),6,67.285907,67.163106,0.245602,851556060948,3113971776,1267892619840,104,104
105,AcKdKc3d,AKK3 (ds),(AK)(K3),12,67.237598,66.87158,0.732036,1695719662284,18562861944,2535785239680,105,105
106,AdAc9c2d,AA92 (ds),(A9)(A2),12,67.202412,66.976604,0.451617,1698382831752,11452037400,2535785239680,106,106
107,AdAc8h7c,AA87 (ss),(A7)A8,24,67.188969,66.6959,0.986139,3382529557056,50012725872,5071570479360,107,107
108,AdAc8c7h,AA87 (ss),(A8)A7,24,67.187357,66.694194,0.986326,3382443060672,50022222960,5071570479360,108,108
109,AdAc6c2d,AA62 (ds),(A6)(A2),12,67.175405,66.929011,0.492788,1697175970308,12496056060,2535785239680,109,109
110,AdAc3c2d,AA32 (ds),(A3)(A2),12,67.160728,66.850944,0.619568,1695196378716,15710907168,2535785239680,110,110
111,AdAcJhTh,AAJT (ss),AA(JT),12,67.149521,66.641263,1.016515,1689879321900,25776649152,2535785239680,111,111
112,AdAcQcTh,AAQT (ss),(AQ)AT,24,67.121761,66.692691,0.85814,3382366825944,43521164736,5071570479360,112,112
113,KdKc7d7c,KK77 (ds),(K7)(K7),6,67.106472,66.983284,0.246376,849276115536,3123781356,1267892619840,113,113
114,AdAc8c2d,AA82 (ds),(A8)(A2),12,67.099359,66.873421,0.451876,1695766339356,11458611324,2535785239680,114,114
115,AdAcQcJh,AAQJ (ss),(AQ)AJ,24,67.095971,66.665176,0.86159,3380971374936,43696119696,5071570479360,115,115
116,AcKdKc8d,AKK8 (ds),(AK)(K8),12,67.094852,66.78313,0.623444,1693476761136,15809204616,2535785239680,116,116
117,AdAcQhTc,AAQT (ss),(AT)AQ,24,67.09188,66.66284,0.85808,3380852906544,43518146424,5071570479360,117,117
118,AdAcQhJc,AAQJ (ss),(AJ)AQ,24,67.081572,66.650792,0.86156,3380241885504,43694607192,5071570479360,118,118
119,AdAc7c2d,AA72 (ds),(A7)(A2),12,67.075785,66.849638,0.452294,1695163259580,11469205080,2535785239680,119,119
120,AcKdKc7d,AKK7 (ds),(AK)(K7),12,67.062916,66.752755,0.620323,1692706507476,15730047444,2535785239680,120,120
