rank,hand,label,notation,combos,equity_pct,std_error_pp,samples,rank_low,rank_high
46386,JcThTd5c3d,JTT53 (ds),(J5)(T3)T,24,12.07267,0.00656,40445493,46196,46616
46387,AcJd7c4h2d,AJ742 (ds),(A7)(J2)4,24,12.07265,0.00377,40443656,46242,46531
46388,KcQdJh7d5d,KQJ75 (3s),K(Q75)J,24,12.07253,0.00486,40447022,46239,46578
46389,KdKc9c3h2h,KK932 (ds),(K9)K(32),24,12.07239,0.00485,40450287,46239,46578
46390,AcJcTd2d2c,AJT22 (3s2),(AJ2)(T2),12,12.07229,0.00521,20222841,46235,46594
46391,AcThTd3s2c,ATT32 (ss),(A2)TT3,12,12.07227,0.00672,20218288,46196,46630
46392,AcJdJc8c3c,AJJ83 (4s),(AJ83)J,12,12.07217,0.00871,20218689,46139,46671
46393,QdQc7h6c4h,QQ764 (ds),(Q6)Q(74),24,12.07214,0.00577,40452373,46226,46606
46394,KcTc9c8d2d,KT982 (3s2),(KT9)(82),12,12.07213,0.00542,20223511,46235,46606
46395,QcJd9d5c4c,QJ954 (3s2),(Q54)(J9),12,12.07189,0.00548,20226296,46235,46606
46396,KcJc9d7h4h,KJ974 (ds),(KJ)9(74),24,12.07187,0.00299,40452895,46289,46531
46397,KcQdTc8c4c,KQT84 (4s),(KT84)Q,12,12.07178,0.00713,20227500,46196,46630
46398,AdAcJh4s2h,AAJ42 (ss),AA(J2)4,12,12.07176,0.00743,20227546,46196,46647
46399,KcQd7s7h6c,KQ776 (ss),(K6)Q77,12,12.07175,0.00785,20234453,46179,46655
46400,KcQd8h7d6h,KQ876 (ds),K(Q7)(86),24,12.07161,0.00474,40444770,46242,46594
46401,QcTd9d7c3d,QT973 (3s2),(Q7)(T93),12,12.07159,0.00798,20221353,46179,46656
46402,AcQc8c7d6c,AQ876 (4s),(AQ86)7,12,12.07156,0.00851,20227479,46149,46692
46403,Ac9d9c6h5c,A9965 (3s),(A95)96,24,12.07148,0.00632,40453070,46223,46630
46404,Kc8d8c7h6s,K8876 (ss),(K8)876,24,12.07136,0.00541,40450570,46239,46606
46405,KcThTd5d2c,KTT52 (ds),(K2)(T5)T,24,12.07132,0.00632,40458604,46223,46630
46406,KcTd8h7d2c,KT872 (ds),(K2)(T7)8,24,12.07121,0.00561,40457556,46239,46616
46407,AcKd8h5c3s,AK853 (ss),(A5)K83,24,12.07118,0.0041,40449272,46259,46578
46408,Ac9c8d7c6c,A9876 (4s),(A976)8,12,12.07114,0.00808,20226731,46179,46671
46409,KcTd8d6c3d,KT863 (3s2),(K6)(T83),12,12.07113,0.00726,20211961,46196,46653
46410,AcQd8c5s5h,AQ855 (ss),(A8)Q55,12,12.07087,0.0036,20222974,46289,46578
46411,KcJdTc4s4h,KJT44 (ss),(KT)J44,12,12.07084,0.00569,20229303,46239,46616
46412,JcTd8c7h5h,JT875 (ds),(J8)T(75),24,12.07078,0.00585,40442761,46239,46630
46413,Ac9d8h5c3h,A9853 (ds),(A5)9(83),24,12.07074,0.00512,40452447,46242,46616
46414,JdJcTh5s4c,JJT54 (ss),(J4)JT5,24,12.07067,0.00347,40453357,46289,46578
46415,JcTdTc5h5c,JTT55 (3s),(JT5)T5,24,12.07061,0.00728,40437710,46196,46656
46416,KcQd6d5d2c,KQ652 (3s2),(K2)(Q65),12,12.07055,0.00778,20226749,46196,46671
46417,QcJdTh6h5h,QJT65 (3s),QJ(T65),24,12.07053,0.00566,40449366,46241,46630
46418,AcQc9d6h2d,AQ962 (ds),(AQ)(92)6,24,12.07047,0.00539,40454635,46242,46616
46419,KcQdTh6d3h,KQT63 (ds),K(Q6)(T3),24,12.07042,0.00591,40449399,46239,46630
46420,Tc9d8d8c6c,T9886 (3s2),(T86)(98),12,12.07014,0.00669,20226821,46235,46653
46421,KcJdTd9d2d,KJT92 (4s),K(JT92),12,12.07004,0.00561,20225144,46242,46630
46422,QcTc9d8c3d,QT983 (3s2),(QT8)(93),12,12.06985,0.00406,20231509,46289,46606
46423,AcKcTc8c4d,AKT84 (4s),(AKT8)4,12,12.0698,0.00674,20225725,46235,46655
46424,AcJd7d4c2d,AJ742 (3s2),(A4)(J72),12,12.06975,0.00706,20228220,46226,46656
46425,JdJc9c6d4d,JJ964 (3s2),(J9)(J64),12,12.06957,0.00596,20219706,46242,46630
46426,QcJd6c5d4d,QJ654 (3s2),(Q6)(J54),12,12.06954,0.00663,20227223,46235,46656
46427,AcQdJsJhJc,AQJJJ (ss),(AJ)QJJ,12,12.06942,0.00999,20229322,46142,46746
46428,AcJd9c5h2h,AJ952 (ds),(A9)J(52),24,12.06938,0.00296,40463455,46321,46578
46429,AcKc5h5d4s,AK554 (ss),(AK)554,12,12.0693,0.00866,20234341,46196,46703
46430,KcQcJc8d4h,KQJ84 (3s),(KQJ)84,24,12.06926,0.00558,40445260,46259,46630
46431,Ac7d5h5c4d,A7554 (ds),(A5)(74)5,24,12.06909,0.00615,40449953,46242,46653
46432,TdTc7c6h6d,TT766 (ds),(T7)(T6)6,24,12.06903,0.00304,40451935,46338,46578
46433,KcQdTh8c2c,KQT82 (3s),(K82)QT,24,12.06898,0.00291,40436621,46338,46578
46434,QcJc8d7h6s,QJ876 (ss),(QJ)876,24,12.06891,0.00436,40448596,46298,46616
46435,AcJd5h4h3c,AJ543 (ds),(A3)J(54),24,12.06888,0.00478,40441574,46289,46630
46436,KcQdJc6h2h,KQJ62 (ds),(KJ)Q(62),24,12.06888,0.00625,40442201,46242,46656
46437,Ac8c6d5s5h,A8655 (ss),(A8)655,12,12.06875,0.0068,20233377,46241,46671
46438,KcQd8c7c3d,KQ873 (3s2),(K87)(Q3),12,12.0686,0.01001,20224810,46149,46766
46439,AcKdQh7s6h,AKQ76 (ss),AK(Q6)7,24,12.06855,0.00487,40457036,46289,46630
46440,QdQcJh7s6s,QQJ76 (ss),QQJ(76),12,12.06846,0.00403,20227179,46301,46616
46441,AcKc9d5h3h,AK953 (ds),(AK)9(53),24,12.06835,0.0044,40452676,46301,46630
46442,KdKcTh3s3h,KKT33 (ss),KK(T3)3,12,12.06833,0.00463,20224426,46301,46630
46443,AcKdQd5d4h,AKQ54 (3s),A(KQ5)4,24,12.06832,0.00422,40452701,46301,46630
46444,AcKc9d9c5h,AK995 (3s),(AK9)95,24,12.06829,0.00432,40459852,46301,46630
46445,JcTd8c7d4d,JT874 (3s2),(J8)(T74),12,12.06821,0.00545,20226970,46289,46653
46446,KcTd6h6c5d,KT665 (ds),(K6)(T5)6,24,12.0681,0.00325,40437777,46338,46606
46447,AcTc6d5d4c,AT654 (3s2),(AT4)(65),12,12.068,0.00411,20227742,46307,46630
46448,AcQcJc4d2d,AQJ42 (3s2),(AQJ)(42),12,12.06786,0.00552,20222771,46289,46655
46449,QcJcTc8c3d,QJT83 (4s),(QJT8)3,12,12.06782,0.00726,20229360,46241,46698
46450,AcQdJc4h4c,AQJ44 (3s),(AJ4)Q4,24,12.06777,0.0046,40449111,46301,46630
46451,QdQc7h7c4c,QQ774 (3s),(Q74)Q7,24,12.0677,0.00542,40461040,46289,46655
46452,Ac9d7h5c3h,A9753 (ds),(A5)9(73),24,12.0677,0.00379,40453455,46338,46616
46453,KcQc7h7d6s,KQ776 (ss),(KQ)776,12,12.06763,0.00627,20227078,46259,46692
46454,Qc9d8h8c6d,Q9886 (ds),(Q8)(96)8,24,12.06759,0.00304,40454453,46339,46606
46455,AcTd9d2h2c,AT922 (ds),(A2)(T9)2,24,12.06755,0.00397,40447677,46338,46630
